9V09 , VUL05AA虚拟产品配置 , 0 , 1 ,  ,  ,  , 0
ACI , 附加长期重大疾病保险（2006） , 0 , 0 ,  ,  ,  , 0
ACI09AA , 附加乐悠人生提前给付长期重大疾病保险（A款） , 0 , 1 ,  ,  ,  , 0
ACI101 , 附加长期重大疾病保险（2006） , 0 , 1 ,  ,  ,  , 0
ACI103 , 附加乐悠人生提前给付长期重大疾病保险（B款） , 0 , 0 ,  ,  ,  , 0
ACI104 , 附加精选提前给付长期重大疾病保险（B款） , 0 , 0 ,  ,  ,  , 0
ACI105 , 附加精选第二次重大疾病保险（B款） , 0 , 0 ,  ,  ,  , 0
ACI106 , 附加精选提前给付长期重大疾病保险（B款） , 0 , 0 ,  ,  ,  , 0
ACI11AC , 附加精选提前给付长期重大疾病保险（A款） , 0 , 1 ,  ,  ,  , 0
ACI12AA , 附加精选第二次重大疾病保险（A款） , 0 , 1 ,  ,  ,  , 0
ACI13AA , 附加都会健康长期重大疾病保险 , 0 , 1 ,  ,  ,  , 0
ADD03AA , 附加安心无忧意外伤害保险 , 0 , 1 ,  ,  ,  , 0
ADD205AA , 倍如意长期意外伤害保险 , 0 , 1 ,  ,  ,  , 0
AHI , 附加定期意外伤害住院津贴医疗保险 , 0 , 0 ,  ,  ,  , 0
AHI07AA , 附加安心无忧意外住院补贴医疗保险 , 0 , 1 ,  ,  ,  , 0
AHI101 , 附加长期医疗保险（2008） , 0 , 0 ,  ,  ,  , 0
AHI102 , 附加长期医疗保险（2010） , 0 , 0 ,  ,  ,  , 0
AMR06AA , 附加安心无忧意外伤害医疗保险 , 0 , 1 ,  ,  ,  , 0
AMR203 , 附加意外伤害医疗保险（不享有公费医疗、社会医疗保险被保险人） , 0 , 0 ,  ,  ,  , 0
AMR203/AMR204 , 附加意外伤害医疗保险 , 0 , 1 ,  ,  ,  , 0
AMR204 , 附加意外伤害医疗保险（公费） , 0 , 0 ,  ,  ,  , 0
CA03AA/CA03AB , 附加合美人生防癌疾病保险（A款） , 0 , 1 ,  ,  ,  , 0
CC01A , 附加公共交通意外伤害保险（A款） , 0 , 0 ,  ,  ,  , 0
CC07AA , 附加安心无忧公共交通意外伤害保险 , 0 , 1 ,  ,  ,  , 0
CIR(B) , 附加长期重大疾病保险（B款） , 0 , 0 ,  ,  ,  , 0
CIR101 , 附加长期重大疾病保险（A款） , 0 , 1 ,  ,  ,  , 0
CIR103-107 , 附加长期重大疾病保险（B款） , 0 , 1 ,  ,  ,  , 0
DD06AA , 附加美满一生长期重大疾病保险 , 0 , 1 ,  ,  ,  , 0
DD08AA , 附加健康宝贝少儿长期重大疾病保险 , 0 , 1 ,  ,  ,  , 0
DD09AA , 成长安心儿童长期重大疾病保险（A款） , 0 , 1 ,  ,  ,  , 0
DI01A , 附加忠诚卫士意外伤害保险 , 0 , 0 ,  ,  ,  , 0
DI02AA , 附加安心无忧收入保障意外伤害保险 , 0 , 1 ,  ,  ,  , 0
ED12AA/ED12AB , 合美人生两全保险（A款） , 1 , 1 ,  ,  ,  , 0
ED19AA/ED19AB , 如意三保定期两全保险 , 1 , 0 ,  ,  ,  , 0
ED21AA , 美满一生两全保险 , 1 , 1 ,  ,  ,  , 0
ED26AA , 关爱永驻家庭收入保障两全保险 , 1 , 1 ,  ,  ,  , 0
